순서,기업명(한국어),기업명(일본어),국가,업종,장르,MA접근,딜형태,분류,시총_억엔,매출_억엔,이익률(%),직원수,대표이사,자체IP,주요타이틀,기업특징,장점,단점리스크,주주구조,MA판단근거,소스,수정메모
44.0,NHN플레이아트,NHN PlayArt,일본,개발/운영,비서브,N,,,,135.0,19.7,260.0,정우진,Y,"LINE: 디즈니 쭘쭘(1억 다운로드), #콤파스(1500만+), 요괴워치 퍼즐, 드래곤퀘스트 케시케시","한국 NHN의 일본 게임 자회사. LINE 디즈니 쭘쭘 1억 다운로드, 요괴워치 퍼즐 2026년 3500만 다운로드 돌파.","대형 IP 라이선스 게임 운영 노하우, LINE 플랫폼 연계","자체 IP 부재, 라이선스 IP 의존 리스크",NHN Corporation(한국) 100%,"NHN JAPAN 100% 자회사. 한국 NHN 그룹 의향이 결정적으로, 단독 매수 어려움. 그러나 한국-일본 크로스 오퍼레이션 노하우와 #코패스 IP는 협업 가치 존재.",upd,[2025-2026 업데이트] LINE 디즈니 쭘쭘 2024년 누적 1억 다운로드 돌파. 요괴워치 퍼즐 2026년 2월 3500만 다운로드.
45.0,지투스튜디오스,G2 Studios,일본,개발/운영,서브,N,,,,21.1,,250.0,쿠보 무네히로,N,"스마트폰 게임 앱 다수, XR 이벤트 콘텐츠","2018년 설립 소규모 스마트폰 게임사. 2024년 3월 THE FIRST 주식회사에 전체 주식 양도, 100% 자회사화. XR 콘텐츠 제작도 병행.","모바일 게임 기획·개발·운영 일관 체제, XR·이머시브 콘텐츠 확장","소규모 스튜디오, 외부 의존도 높음",THE FIRST 주식회사 100%(2024.3 인수),긱스 100% 완전자회사로 단독 분리 어려움. 2018년 설립의 신생사로 실적 축적 중. 대형 IP 게임화 협업 파트너로는 검토 가능.,upd,[2025-2026 업데이트] 2024년 3월 THE FIRST 주식회사로 전체 주식 양도 완료.
46.0,크리처스,クリーチャーズ,일본,개발/운영,비서브,N,,,,337.0,64.1,245.0,키타노 유지,N,"포켓몬 TCG 포켓(DeNA 공동개발, 2024.10), 포켓몬 카드게임 전반 설계",포켓몬 TCG 설계·3D모델링 전문사. 포켓몬 컴퍼니 지분 1/3 보유. 포켓몬 TCG 포켓(DeNA와 공동개발) 2024년 초대박.,"포켓몬 카드게임 원천기술 보유, TCG 포켓 글로벌 대흥행(5억달러+)","포켓몬 단일 IP 집중 리스크, 독자 사업 다각화 한계",비공개(포켓몬 컴퍼니 관련 지분 구조),이시하라 씨 88.9% 단독 대주주. 닌텐도 11% 참여로 포켓몬 생태계 핵심 3사 중 하나. 이시하라 씨 의향 없이는 매각 불가. M&A 타깃 아님.,upd,[2025-2026 업데이트] 포켓몬 TCG 포켓 2024년 10월 출시 후 1억 다운로드·5억달러 이상 수익 달성. 2023년 4월 키타노 유지 신 대표 취임.
47.0,헤드록,ヘッドロック,일본,개발/운영,서브,N,,,,18.8,7.3,110.0,카토 켄고,N,"산고쿠시 타이센 관련 스마트폰 타이틀(SEGA 라이선스), KAI SANGOKUSHI TAISEN(2025)",1999년 설립 도쿄 나카노 소재 온라인·스마트폰 게임 개발·운영사. 블록체인 게임 KAI 산고쿠시 타이센 2025년 4-5월 정식 서비스 출시.,"오랜 온라인 게임 운영 노하우(25년+), 다양한 장르 경험","소규모 인원, 히트 타이틀 부재, 성장성 불명확",비공개(독립 비상장),주주구조 비공개로 평가 제한적. 온라인게임 서버·운영 기술은 가치 있으나 규모(110명)가 작아 넥슨 타이틀 수탁 협업이 현실적.,upd,[2025-2026 업데이트] 블록체인 게임 KAI SANGOKUSHI TAISEN 2025년 4-5월 정식 서비스 출시. 2024년 11월 사전등록 200만 돌파.
48.0,키 (비주얼아츠),Key（ビジュアルアーツ）,일본,개발/운영,서브,N,,,,26.0,0.0,114.0,텐쿠모 겐키,Y,"헤븐번즈레드, CLANNAD, 카논(Kanon), AIR, 리틀버스터즈, Iris City(2025 예정)",오사카 기반 비주얼노벨 퍼블리셔. 2023년 7월 텐센트가 인수. 헤븐번즈레드(WFS 협업)로 모바일 실적. 2026년 4월 신브랜드·3개 신작 발표.,"Key 브랜드의 압도적 비주얼노벨 팬덤, 헤븐번즈레드 글로벌 성공, 텐센트 자본","텐센트 인수로 창작 자율성 우려, 대표 CEO 교체로 방향성 불확실",텐센트 홀딩스 100%(2023.7 인수),텐센트 그룹 산하로 매각 불가. Key 브랜드 IP(CLANNAD·Angel Beats! 등)는 팬 커뮤니티 강력하나 개발 사이클이 너무 길어 넥슨 라이브서비스 문화와 미스매치.,upd,[2025-2026 업데이트] 2023년 7월 텐센트에 인수. 2024년 헤븐번즈레드 글로벌판 출시(Yostar 퍼블리싱). 2026년 4월 Visual Arts 새 비주얼노벨 브랜드와 3개 신작 발표.
49.0,아틀러스,アトラス,일본,개발/운영,서브,N,,,,320.0,18.0,500.0,미나미 나오키,Y,"Metaphor: ReFantazio(2024), Persona 3 Reload(2024), SMT V: Vengeance(2024)",세가 완전 자회사. Persona·SMT·Metaphor: ReFantazio 등 IP로 세가 전체 게임 매출의 28.2%를 담당.,"글로벌 JRPG 팬층 탄탄, Metaphor·Persona 신규 IP 확장력 강함","세가그룹 내 IP 집중 리스크, 신작 출시 간격이 길고 대작 의존도 높음",세가사미 홀딩스 100% 자회사,세가사미홀딩스 100% 완전자회사. 페르소나·SMT는 글로벌 컬트IP이나 콘솔 중심이라 넥슨 온라인게임 시너지 제한적. 세가사미 그룹 전체 매수 없이는 접근 불가.,orig,"[2025-2026 업데이트] Metaphor: ReFantazio 출시 당일 100만장·누적 200만장. Persona 3 Reload 340만장. 2024년 4월 전 직원 기본급 15% 인상.
[정정] Persona 3 Reload 판매량: 340만→207만(2.07M) 기준으로 갱신(마일스톤 기준일 명시)."
50.0,포노스,ポノス,일본,개발/운영,비서브,N,,,,100.0,,30.0,쓰지코 요리카쓰,Y,냥코대전쟁/The Battle Cats(2012~운영 중),"교토 기반 독립 모바일 게임사. '냥코대전쟁' 2024년 6월 누적 매출 700억엔 돌파, 일본 모바일 RTS 최고 매출 5년 연속 1위.","단일 IP 장기 운영 능력 탁월, 일본 국내 MAU 100만 이상 안정 유지","냥코대전쟁 단일 IP 의존, 신규 IP 부재, 소규모 인력으로 확장성 제한","비상장, 창업주 일가 경영",창업자 대부분 지분 보유 오너기업. 냥코대전쟁이라는 장기 히트 IP를 보유하나 재무 비공개로 가치 평가 어려움. 추가 정보 수집 필요.,upd,"[2025-2026 업데이트] 2024년 6월 The Battle Cats 누적 글로벌 매출 700M달러 돌파. 일본 68%, 미국 11%, 한국 8% 비중."
51.0,라센글,ラセングル,일본,개발/운영,서브,N,,,,,,326.0,오노 요시노리,N,Fate/Grand Order(운영 중),Aniplex 100% 자회사(2022년 인수). 구 DELiGHTWORKS의 FGO 운영·개발 부문 분리 설립. Fate/Grand Order 개발 운영 특화.,"FGO 장기 운영 노하우, Aniplex·Type-Moon과 긴밀한 제작위원회 체제","FGO 단일 타이틀 의존도 극도 높음, 모바일 가챠 시장 성숙화 리스크",Aniplex Inc. 100% 자회사 (Sony Music Entertainment Japan 계열),아니플렉스 100% 완전자회사. FGO 단일 타이틀 의존도 극히 높고 소니 그룹 생태계 내 위치로 독립 매수 불가.,orig,[2025-2026 업데이트] 2024년 10월 기준 직원 326명. 오노 요시노리(전 캡콤 SF 프로듀서) 사장 체제. FGO 일본·해외 지속 운영.
52.0,엔씨재팬,エヌ・シー・ジャパン,일본,운영/판매,비서브,N,,,,10.0,,30.0,임원기,N,"Lineage(일본 서비스), Lineage II, Aion",NCSOFT와 소프트뱅크 합작 일본 서비스 법인. 2024년 NCSOFT 전사 매출 1.58조원(전년비 11% 감소).,소프트뱅크와의 협업으로 일본 통신망·유통 접근성 우수,"일본 시장 PC MMORPG 수요 감소, 신규 타이틀 라인업 부족",NCSOFT(한국) + SoftBank Corp. 합작,NCSOFT 100% 자회사로 단독 매수 불가. 리니지 시리즈와 넥슨 MMORPG는 동일 시장 경쟁 관계로 인수 시 이해충돌 발생. K-MMORPG 시장 파이 제한적.,orig,[2025-2026 업데이트] 2024년 NCSOFT 박병무 공동대표 취임. 일본·대만 사업 총괄 임원키 임명.
53.0,아크시스템웍스,アークシステムワークス,일본,개발/판매,서브,T,인수,,,70.0,10.8,236.0,키도오카 미노루,Y,"Guilty Gear -STRIVE-(시즌5 DLC 2025), Dragon Ball FighterZ, BlazBlue",요코하마 기반 격투게임 전문 개발사. Guilty Gear·BlazBlue·Dragon Ball FighterZ 등 IP 보유. GG Strive 누적 350만 유저.,"대전격투 장르 세계 최고 수준 그래픽·시스템, 탄탄한 e스포츠 커뮤니티","격투게임 틈새 장르 한계, BlazBlue 장기 부재",비상장 독립계,창업자 키도오카 씨가 최대주주이나 복수 기관 주주 존재. 격투게임 IP는 넥슨 장르 포트폴리오 보완 가능. 조건부: 창업자 협상 및 IP 계약 구조 정리 필요.,short,[2025-2026 업데이트] GG Strive 350만 유저 달성(Evo 2025). SNK와 신규 격투게임 협업 논의. 미드레인지 신규 장르 확장 방침 발표.
54.0,SNK,SNK,일본,개발/운영,비서브,T,소수지분,,,24.3,,600.0,미공개(2025년 CEO 사임),Y,"Fatal Fury: City of the Wolves(2025), King of Fighters XV, Samurai Shodown",사우디아라비아 EGDC가 96.18% 보유. 2025년 4월 Fatal Fury: City of the Wolves 출시 후 CEO 사임. 자본금 최대 80% 감축 계획 발표.,"사우디 자본 기반 대규모 개발 예산, KOF·아랑전설·사무라이스피리츠 클래식 IP","Fatal Fury CotW 상업적 기대 미달, CEO 공백, 자본금 최대 80% 감축",EGDC(사우디 Misk Foundation 산하) 96.18%,ELECTRIC GAMING 100% 소유로 해당 모회사 협상이 전제. 적자(-28억엔) 지속으로 매각 검토 가능성 있음. KOF IP의 e-Sports 활용 가치는 높음.,short,"[2025-2026 업데이트] 2025년 4월 Fatal Fury CotW 출시 후 CEO 사임. 자본금·잉여금 약 80억엔(최대 80%) 감축 발표. Art of Fighting·Samsho 신작 개발 중.
[정정] 사임 CEO: 松原健二(Kenji Matsubara) 2025-05 사임 명기. SNK VS Studio 설립(2026-05) 이벤트 추가."
55.0,플래티넘게임즈,プラチナゲームズ,일본,개발,비서브,N,,,,,,350.0,이나바 아쓰시,Y,"Bayonetta 시리즈, NieR:Automata(개발), Ninja Gaiden 4(2025)",오사카 기반 액션게임 전문 개발사. 2024~2025년 케지 사이토 등 베테랑 디렉터 다수 이탈로 창작 역량 우려.,"고품질 액션게임 개발력, Ninja Gaiden 4(2025) 코에이테크모와 협업","히데키 카미야·케지 사이토 등 핵심 인력 대거 이탈, 바요네타 IP 향방 불투명","비상장, 텐센트 소액 투자 보유",텐센트가 자본 참여(지분율 비공개). 재무 비공개. 오너 독립 경영 의지 강하고 콘솔 중심 개발사로 넥슨 온라인게임과 문화적 거리 있음. 고품질 액션게임 개발 협업 파트너로는 검토 가능.,short,[2025-2026 업데이트] 2025년 초 케지 사이토·타우라 타카히사 등 핵심 인재 이탈 확인. Ninja Gaiden 4 2025년 10월 출시.
56.0,사이버커넥트투,サイバーコネクトツー,일본,개발,서브,T,소수지분,,,500.0,,502.0,마쓰야마 히로시,N,".hack 시리즈, Naruto 시리즈, Dragon Ball Z: Kakarot, Demon Slayer 게임",후쿠오카·몬트리올 거점. 반다이남코 밀접 협력사. 나루토·드래곤볼·귀멸의칼날 등 원작 기반 게임 전문.,"애니메이션 원작 게임 특화 기술력, 반다이남코와의 장기 협업 관계","수탁 개발 의존도 높음, 자체 IP 창출 역량 미검증",비상장 독립계,마츠야마 씨 90% 지분으로 본인 의향이 결정적. 반남 10% 주주와의 관계 조정 필요. 그러나 애니IP 게임화 노하우는 넥슨 IP 타이틀 확대 전략과 시너지 크음.,short,[2025-2026 업데이트] 2025년 기준 직원 502명(몬트리올 스튜디오 포함). 반다이남코 타이틀 지속 개발.
57.0,스파이크청소프트,スパイク・チュンソフト,일본,개발/판매,서브,N,,,,150.0,10.0,260.0,사쿠라이 미쓰토시,Y,"Danganronpa 시리즈, Master Detective Archives: RAIN CODE(2023), Shiren the Wanderer 6(2024)",카도카와 자회사. 단간론파·영단관탐정 레인코드·시렌 시리즈 보유. FY2024 순이익 7.93억엔으로 10년래 최고치.,"니치 어드벤처·로그라이크 장르 탄탄한 팬층, 카도카와 그룹 시너지","대형 AAA 타이틀 부재, 글로벌 시장 인지도 틈새 수준",카도카와(Kadokawa) 자회사,드완고 100% 완전자회사로 카도카와 그룹 소속. 단간론파·시렌 등 독특한 IP는 가치 있으나 그룹 전략상 분리 매수 어려움. IP 협업만 현실적.,short,"[2025-2026 업데이트] FY2024 순이익 7.93억엔, 10년 최고치. Shiren 6·레인코드 실적 견인."
58.0,딤프스,ディンプス,일본,수탁개발,비서브,N,,,,78.7,10.3,342.0,니시야마 다카시,N,"Dragon Ball Xenoverse 2, Sonic 시리즈, Street Fighter IV/V(개발 참여)",오사카 기반. 구 SNK·캡콤 출신 SF 공동 창안자 니시야마가 2000년 설립. 소닉·드래곤볼 수탁 개발 전문.,"격투·액션 장르 깊은 개발 역사, 대형 IP 수탁 실적 풍부","자체 IP 無, 대형 퍼블리셔 의존 구조",비상장 독립계,반남과 아니플렉스가 주요 주주로 이들의 동의 없이 매수 어려움. 수탁개발 전문사로 자사 브랜드 가치 낮음. 넥슨 타이틀 3D게임 개발 협력사로 활용 협의 가능.,short,[2025-2026 업데이트] 2025년 복싱 게임 신작(Ring 매거진 협력) 개발 중.
59.0,게임프릭,ゲームフリーク,일본,개발,비서브,N,,,,,,207.0,시게노 마사토,Y,"Pokemon Scarlet & Violet(2022), Pokemon Legends: Z-A(2025 예정)","포켓몬 본편 독점 개발사. TPC FY2025 매출 4,110억엔(+38.1%) 사상 최고. 스칼렛·바이올렛 품질 논란 지속.","포켓몬 IP 독점 개발권, 세계 최대 엔터테인먼트 IP와 직결","스칼렛·바이올렛 품질 논란, 소규모(207명)로 메인 시리즈 완성도 한계",닌텐도·크리쳐즈·게임프릭 3사가 포켓몬 컴퍼니 공동 주주,포켓몬 3대 원저작 관련 기업 중 하나. 닌텐도와 포켓몬컴퍼니 영향하에 있어 독립 매수 현실적으로 불가. 참고용 파악 목적으로 포함.,short,"[2025-2026 업데이트] 2024년 8월 직원 207명으로 약 20% 채용 확대. TPC FY2025 매출 4,110억엔(포켓몬 TCG 포켓 앱 효과)."
60.0,할연구소,ハル研究所,일본,개발,비서브,N,,,,71.4,33.5,169.0,미공개,Y,"Kirby 시리즈, Kirby and the Forgotten Land(2022), 차기 커비 신작(개발 중)",닌텐도 세컨드파티. 커비·마더·스매시브라더스 전작 개발. 2024년 닌텐도 스위치2 대응 차기 커비 신작 대규모 채용 진행.,"닌텐도와 수십 년 협력, 커비 IP 개발 독점, 안정적 공급망","닌텐도 종속 단일 구조, 독자 IP·사업 다각화 없음",닌텐도 2차 협력사,닌텐도가 3대 주주로 사실상 닌텐도 파트너 기업. 종업원지주회 주도 오너십 구조로 독립 매각 현실적으로 불가. 참고 파악 목적.,short,[2025-2026 업데이트] 2024년 차기 커비 신작 개발을 위한 대규모 채용(액션·UI·그래픽 프로그래머). 닌텐도 스위치2 대응 타이틀 개발 시사.
61.0,포켓페어,ポケットペア,일본,개발/운영,비서브,N,,,,470.0,,50.0,미조베 다쿠로,Y,"Palworld(2024, 32M+ 플레이어), Craftopia","도쿄 인디 개발사. 2024년 1월 Palworld 출시 3일 500만장 돌파, 32M 플레이어 달성. 2025년 9월 닌텐도 특허 소송 합의.","Palworld 초대형 글로벌 히트, 자금력으로 퍼블리싱 부문 신설","닌텐도 특허 소송 합의(라이선스 비용 지속), Palworld 이후 신작 리스크","비상장 독립계, 미조베 다쿠로 CEO",오너 100% 소유로 미조부치 씨 의향이 전부. 닌텐도와 특허 소송 분쟁 중으로 법적 리스크 존재. 팔월드 IP의 급성장 모멘텀은 주목할 만하나 분쟁 해결 전까지 접근 보류 권고.,short,[2025-2026 업데이트] 2024년 9월 닌텐도·TPC 특허 침해 소송 → 2025년 9월 합의·라이선스 비용 지급. 2024년 12월 Feybreak Island 업데이트.
62.0,플레임하츠,フレイムハーツ,일본,수탁개발,비서브,T,인수,,,15.0,0.0,130.0,쓰쿠시 도시야,N,"Eiyuden Chronicle: Hundred Heroes(2024 개발 참여), Pokemon LEGENDS Z-A(개발 지원), Ninja Gaiden 4(개발 지원)",도쿄 기반 게임 개발·3D CG·로컬라이즈 종합 스튜디오(2003년 설립). Digital Hearts Holdings 그룹사.,"멀티 분야(개발·CG·녹음·영상·현지화) 원스톱 제공, 대형 IP 참여 실적","모회사 Digital Hearts Holdings에 종속, 독자 IP 없음",Digital Hearts Holdings(TSE: 3676) 자회사,NEXON Korea DNF DUEL 직접 개발 실적으로 신뢰 관계 이미 구축. 디지털하츠HD와의 협상 통해 분리 인수 또는 업무제휴 확대 모두 검토 가능.,short,[2025-2026 업데이트] 2024년 Eiyuden Chronicle 공동 개발. Pokemon LEGENDS Z-A 및 Ninja Gaiden 4 개발 지원.
63.0,니트로플러스,ニトロプラス,일본,개발,서브,N,,,230.0,40.0,15.6,85.0,타카키 코사카(디지타로),Y,"도검란무-ONLINE-, Dolls Nest(2025 출시), Rusty Rabbit(2025), 슈타인즈;게이트(원작)","비상장. 2024년 6월 CyberAgent 완전자회사(167억엔 인수). 도검란무 IP 등 보유. FY2025 8월기 순이익 15억엔(+102%), 7년래 최고.","도검란무 등 강력한 오타쿠 여성향 IP, CyberAgent 그룹 시너지, 소규모 고수익 구조","85명 소규모 스튜디오, CyberAgent 전략에 종속, 신규 IP 창출 능력 제한적",CyberAgent 72.5% 완전자회사(2024.6 인수),"CA가 2024년 7월 167억엔(72.5%)에 취득, 기업가치 약 230억엔. CA 연결자회사로 분리 매각 어려움. IP 라이센스 협업 검토 가능.",short,"[2025-2026 업데이트] 2024년 6월 CyberAgent가 167억엔에 인수 완료. 2025년 Dolls Nest·Rusty Rabbit 출시로 FY2025 순이익 102% 급증, 7년래 최고 성적.
[정정] CyberAgent 지분 100%→72.5%로 정정."
64.0,두근두근그루브웍스,ドキドキグルーヴワークス,일본,수탁개발,비서브,N,,,,40.5,3.8,700.0,미공개,N,"Octopath Traveler: CotC, Various Daylife, Octopath Traveler 0(2025.12)",스퀘어에닉스와 긴밀 협력. 오크토패스트래블러·발키리 아나토미아 등 개발. 2025년 12월 Octopath Traveler 0 SE와 공동 출시.,"스퀘어에닉스 IP 개발 역량, HD-2D 기술 숙련도","스퀘어에닉스 의존 수탁 비중 높음, 독자 IP 부재",비상장 독립계,복수 오너 주주 구조로 협상 복잡. 개발+운영+테스트 일괄 수탁이 강점이나 자사 IP 없음. 넥슨 타이틀 수탁 개발 협력사로 활용 협의 가능.,short,[2025-2026 업데이트] 2025년 12월 Octopath Traveler 0 스퀘어에닉스와 공동 출시(Switch2/PS5/PC/Xbox).
65.0,이루카,イルカ,일본,수탁개발,비서브,N,,,,70.3,4.0,397.0,이와사키 타쿠야,N,"Pokemon Brilliant Diamond & Shining Pearl(2021), One Piece Odyssey(2023)",도쿄 기반. 2024년 3월 TPC와 합작 'Pokémon Works' 설립. Pokemon BDSP·One Piece Odyssey 개발.,"포켓몬 컴퍼니·반다이남코 양대 협력, Pokemon Works로 포켓몬 IP 중장기 개발 확보","수탁 의존 구조, 자체 IP 없음",비상장 독립계. Pokémon Works(TPC 51%·ILCA 49%) 합작,창업자 2명이 100% 지분 보유한 오너기업. 수탁개발 전문으로 자사 IP 없음. 넥슨 타이틀 고품질 개발 외주처로 협업 가능.,short,[2025-2026 업데이트] 2024년 3월 TPC와 Pokémon Works K.K. 설립(Pokemon HOME·Sleep·Champions 담당). 반다이남코와 Bandai Namco Aces 공동설립(Ace Combat 차기작).
66.0,사이버드,サイバード,일본,개발/운영,서브,N,,,,63.0,0.5,63.0,모토시마 다다시,Y,"Ikemen 시리즈(Ikemen Sengoku, Ikemen Revolution, Ikemen Villains)","도쿄 기반 모바일 여성향 게임사. 이케맨 시리즈 누적 3,500만 글로벌 멤버. Glyph(Aeria 계열) 산하.","글로벌 여성향 로맨스 게임 선두, 이케맨 브랜드 해외 인지도 강함","이케맨 단일 시리즈 의존, 소규모 체제",Glyph(Aeria Inc.) 산하 자회사,아에리아콘텐츠홀딩 100% 자회사. 여성향 IP 특화로 넥슨 주류 타깃과 유저층 상이. M&A보다 여성향 게임 콜라보 파트너십이 현실적.,short,"[2025-2026 업데이트] 2024년 Ikemen Villains 영문판 출시. 이케맨 시리즈 글로벌 3,500만 멤버 유지."
67.0,인텔리전트시스템즈,インテリジェントシステムズ,일본,개발,비서브,N,,,,67.0,22.6,169.0,미공개,N,"Fire Emblem 시리즈, Paper Mario, WarioWare, Fire Emblem Heroes(모바일), Fire Emblem Shadows(2025)",닌텐도 세컨드파티(1986년 설립). 파이어엠블렘·페이퍼마리오·워리오웨어 시리즈 개발. FE Heroes 누적 매출 10억달러 돌파.,"전략RPG 장르 글로벌 No.1, 닌텐도 장기 파트너십, 모바일·콘솔 양축 운영","닌텐도 종속 구조, 독자 퍼블리싱 없음",닌텐도 2차 협력사,사실상 닌텐도 전용 개발사로 파이어엠블렘 등 닌텐도 핵심 IP 담당. 독립 매각 현실적으로 불가. 참고 파악 목적.,short,[2025-2026 업데이트] 2025년 9월 Fire Emblem Shadows 출시. 닌텐도 스위치2 대응 타이틀 개발 추정.
68.0,폴리포니디지털,ポリフォニー・デジタル,일본,개발,비서브,N,,,,171.0,,300.0,야마우치 카즈노리,N,Gran Turismo 7(SPEC III 업데이트 2025.12),소니 인터랙티브 엔터테인먼트 완전 자회사. Gran Turismo 시리즈 독점 개발. 시리즈 누적 판매 1억장.,"레이싱 시뮬레이션 세계 최고 수준, Sony AI·샤오미·혼다 등 산업계 협업","Gran Turismo 단일 IP 의존, 출시 간격 긺",Sony Interactive Entertainment 100% 자회사,소니IE 산하로 그란투리스모 IP 전담 개발사. 독립 매각 불가. 레이싱 게임 장르는 넥슨 포트폴리오와 시너지 제한적. 참고 파악 목적.,short,[2025-2026 업데이트] 2025년 9월 차기 프로젝트 대규모 채용. 2025년 12월 GT7 SPEC III 대형 업데이트. 샤오미·GT World Series 2025 파트너십.
69.0,지블로섬,G-Blossom,일본,개발,비서브,N,,,,0.7,8.6,10.0,미공개,N,"Ninjam(Steam 2025.4), MEMORICA(Android 2025.2)",2022년 설립 완전 원격근무 인디 스튜디오. Ninjam·MEMORICA 개발·출시.,"경량화 원격 팀, 캐주얼 멀티플레이 닌자 게임 독창성","극소규모(약 10명), 인지도 낮음, 수익 기반 미확보",비상장 인디 독립계,14명 초소규모 스튜디오로 재무규모 극소(7000만엔). 예술적 가치는 세계 최고 수준이나 규모상 넥슨 인수 타깃으로는 부적합. 크리에이티브 파트너십 검토 가능.,short,[2025-2026 업데이트] 2025년 4월 Ninjam PC(Steam) 정식 출시. 2025년 2월 MEMORICA Android 출시.
70.0,하이드,ハイド,일본,수탁개발,서브,N,,,,13.1,7.2,107.0,야나기하라 켄이치,N,"디지몬 서바이브(반다이남코), 룬 팩토리5(마블러스)",2002년 설립. 가정용 콘솔 게임 수탁 개발 전문. 150개 이상 타이틀 납품 실적.,"다양한 플랫폼 대응 가능한 수탁 개발 유연성, 풍부한 납품 실적","수탁 의존 구조로 자사 IP 부재, 소규모로 수주 변동 리스크 높음",비상장 비공개,창업자 2인 100% 소유로 의사결정 명확. 수탁개발 전문으로 자사 IP 없음. 넥슨 타이틀 개발 협력사로 활용 가능.,short,[2025-2026 업데이트] 2025년 2월 기준 직원 107명. e스포츠팀 'Team HYDE' 운영 지속.
71.0,소레이유,ソレイユ,일본,수탁개발,비서브,N,,,,30.0,0.0,50.0,오카모토 요시코,N,"Ninjala(닌자라), NARUTO TO BORUTO 시노비 스트라이커",2008년 설립. 2021년 텐센트(Wake Up Interactive 통해) 90% 지분 취득. 하이엔드 액션·슈팅 전문.,"Team NINJA 출신 고품질 액션 게임 개발력, 텐센트 자본 지원","소규모(50명), 텐센트 의존 구조",Wake Up Interactive(텐센트 계열) 100%,WAKE UP INTERACTIVE 산하로 단독 분리 어려움. 액션게임 개발 전문으로 넥슨 액션장르 타이틀 개발 협력사로는 활용 가능.,short,[2025-2026 업데이트] 텐센트 산하에서 자체 IP 개발 강화 중. Ninjala 누적 800만 다운로드.
72.0,그리,グリー,일본,개발/운영,비서브,T,소수지분,,683.0,571.0,8.5,1200.0,田中良和,N,ヘブンバーンズレッド、まどドラ、VTuber事務所すぺしゃりて,ゲーム・VTuber・DX・スポーツ等5事業を展開するホールディングス。ヘブバン・ライトフライヤースタジオを傘下に持つ。VTuber事業「すぺしゃりて」が新たな成長軸に。,VTuber事業の急成長（前期QonQ+103%増）とDX事業の安定収益。多角化による収益分散,ヘブバン等ゲーム主力タイトルの売上逓減が深刻。次期主力ゲームタイトルの不在,田中良和（創業者・代表取締役会長兼社長）が大株主,"구조개혁 효과로 흑자 전환 중. 시총 862억엔, 매출 613억엔 규모로 영업이익률 9.8% 회복. 창업자 약 30% 보유가 협상 변수.",add,"[2025-2026 업데이트] 2025年6月期売上571億円・営業益49億円。VTuberで「第2の創業」を宣言し100億円規模の投資方針を表明。
[정정] 시총 800→683억엔(-15%)로 갱신(기준일 필요)."
73.0,콜리,coly,일본,개발/운영,서브,T,인수,,636.0,259.0,2.4,1235.0,미야모토 타카시,Y,"White Cat Project NEW WORLD'S, Quiz RPG Wizard, Black Cat Wiz",White Cat Project 등 보유 중형 스마트폰 게임사. FY2025 9월기 매출 259억엔. 개발자 80% 생성AI 활용 선언.,"White Cat Project 장기 운영 안정성, 생성AI 적극 도입, 자사 기술 특허 다수 보유","매출 감소 추세(-0.16%), 신작 흥행 불확실, 대형 히트작 부재","宮本昌憲(창업자) 등 임원 지분, 공개주(TSE:3668)",시총 약 74억엔으로 매수 현실적. 여성향 서브컬처 IP 특화. Southair 50% 대주주와의 협상이 관건.,add,"[2025-2026 업데이트] 2025년 White Cat Project 11주년. 개발자 80%가 생성AI 실무 활용 중 발표, AI 주도 개발 문화 전면 도입."
74.0,에니쉬,enish,일본,개발/운영,비서브,T,인수,,42.0,33.2,-24.6,,모리타 히데카츠,Y,"De:Lithe Last Memories (블록체인게임), 보쿠노레스토랑II","모바일 게임 개발·운영사. 해당 기업명 공시 정보 확인 불가, 정확한 일본어 사명 및 증권코드 재확인 필요.",블록체인 게임 개발 경험 보유. 소형 시총으로 저비용 인수 가능.,2기 연속 영업적자(-24.6%). 핵심 타이틀 매출 감소. 블록체인 채산성 불확실.,유동주식 다수 (대주주 불명확),적자 지속·블록체인 전환 중으로 자금조달 필요 시 협상 환경 조성. 시총 42억엔으로 매수 부담 낮음.,add,[2025-2026 업데이트] 검색 결과에서 에니쉬(Enicom) 해당 기업의 상장 정보를 확인할 수 없었음. 기업명 표기 재확인 요망.
75.0,아에리아,アエリア,일본,개발/운영,서브,N,,,61.0,227.0,,519.0,코바야시 유스케,N,"스마트폰 게임 앱, 드라마 CD, 캐릭터 상품, 사이버드 계열 콘텐츠",IT서비스·게임 콘텐츠·자산운용 3개 사업. 게임 외 부동산 자산운용도 전개. 매출 소폭 감소 지속.,"어필리에이트 플랫폼 강점, 게임·드라마CD·캐릭터 상품 등 다각화 콘텐츠 사업","시가총액 소규모(61억엔), 게임 사업 성장 정체, 수익성 낮음","공개주(TSE:3758), 코바야시 유스케 대표 등",매출 226억엔 중형급이나 게임 외 부동산 사업 병존. 주주·이익구조 상세 미파악으로 추가 조사 후 재분류 필요.,add,"[2025-2026 업데이트] 2024-2025년 특기할 만한 대형 발표 없음. 매출 소폭 감소(-15.51% YoY) 지속, 자산운용 사업이 수익 완충 역할."
